,1,2,3,4
KIT_210F_MG6_H1,0,0,0,0
KIT_225A_MG6_B2,0,0,0,0
KIT_311A_MG6_C2,0,0,0,0
KIT_216A_MG6_D2,0,0,0,0
KIT_216C_MG6_E2,0,0,0,0.987341821
KIT_216K_MG6_F2,0,0,0,0
KIT_216N_MG6_G2,0,0,0,0.986026525
KIT_216F_MG6_H2,0,0,0,0.895929217
KIT_MOCK6_MG6_B3,0,0,0,0
KIT_MOCK5_MG6_C3,0,0.540771008,0,0.812584996
KIT_BLANK_MG6_D3,0,0.486943722,0,0.604448617
KIT_BLANK_MG6_E3,0,0.396789104,0,0.594620228
KIT_BLANK_MG6_F3,0,0.660811007,0,0.329723567
KIT_BLANK_MG6_G3,0,0.389550775,0,0.589053988
KIT_210A_MG6_H3,0,0,0,0
KIT_7K_MG6_B4,0,0,0.491617352,0.648208857
KIT_7N_MG6_C4,0,0,0.647338569,0.379057884
KIT_7F_MG6_D4,0,0,0.735451162,0
KIT_235C_MG6_E4,0,0,0,0
KIT_235K_MG6_F4,0,0,0,0
KIT_235N_MG6_G4,0,0,0,0
KIT_235F_MG6_H4,0,0,0,0
KIT_10K_MG6_B5,0,0,0,0
KIT_10N_MG6_C5,0,0.010225017,0,0
KIT_10F_MG6_D5,0,0,0,0.070070803
KIT_81C_MG6_E5,0,0,0.179523766,0.80304426
KIT_81K_MG6_F5,0,0,0,0.718977988
KIT_81N_MG6_G5,0,0,0,0.763510764
KIT_81F_MG6_H5,0,0,0,0.688800514
KIT_26K_MG6_B6,0,0,0,0
KIT_26N_MG6_C6,0,0,0,0.949771285
KIT_26F_MG6_D6,0,0,0,0
KIT_18C_MG6_E6,0,0,0,0
KIT_18K_MG6_F6,0,0,0,0
KIT_18N_MG6_G6,0,0,0,0
KIT_18F_MG6_H6,0,0,0,0
KIT_36K_MG6_B7,0,0,0,0
KIT_36N_MG6_C7,0,0.063193329,0,1.179247975
KIT_36F_MG6_D7,0,0,0,0
KIT_43C_MG6_E7,0,0,0,0
KIT_43K_MG6_F7,0,0,0,0
KIT_43N_MG6_G7,0.148568913,0,0,0.883430898
KIT_43F_MG6_H7,0,0,0,0
KIT_51K_MG6_B8,0,0,0,0.968324125
KIT_51N_MG6_C8,0,0,0,0.988046348
KIT_51F_MG6_D8,0,0,0,0.969474375
KIT_44C_MG6_E8,0,0,0,0.996553481
KIT_44K_MG6_F8,0,0,0,0.979336917
KIT_44N_MG6_G8,0,0,0,0
KIT_44F_MG6_H8,0,0,0,1.000349879
KIT_32K_MG6_B9,0,0,0.243950859,0.850008368
KIT_32N_MG6_C9,0,0,0,0
KIT_32F_MG6_D9,0,0,0,0.943281472
KIT_22C_MG6_E9,0,0,0,0.947777569
KIT_22K_MG6_F9,0,0,0,0
KIT_22N_MG6_G9,0,0,0.783656478,0
KIT_22F_MG6_H9,0,0,0,0
KIT_19K_MG6_B10,0,0,0,0
KIT_19N_MG6_C10,0,0,0,0.941198289
KIT_19F_MG6_D10,0,0,0,0
KIT_27C_MG6_E10,0,0,0,0
KIT_27K_MG6_F10,0,0,0,0
KIT_27N_MG6_G10,0,0,0,0
KIT_27F_MG6_H10,0,0,0,0
KIT_25K_MG6_B11,0,0,0,0.987919688
KIT_25N_MG6_C11,0,0,0,0
KIT_25F_MG6_D11,0,0,0,0
KIT_2C_MG6_E11,0,0,0,0
KIT_2K_MG6_F11,0,0,0,0
KIT_2N_MG6_G11,0,0,0,0
KIT_2F_MG6_H11,0,0,0,0
KIT_39K_MG6_B12,0,0,0,0
KIT_39N_MG6_C12,0,0.537721157,0.332434446,0.310240865
KIT_39F_MG6_D12,0,0,0,0
KIT_446C_MG6_E12,0,0,0,0
KIT_446K_MG6_F12,0,0,0,0
KIT_446N_MG6_G12,0,0.008545475,0,0
KIT_446F_MG6_H12,0,0,0,0
KIT_78C_MG7_A1,0,0.0195558,0,0
KIT_78K_MG7_B1,0,0,0,0
KIT_78N_MG7_C1,0,0,0,0
KIT_98C_MG7_E1,0,0,0,0
KIT_98K_MG7_F1,0,0,0,0
KIT_98N_MG7_G1,0,0,0,0
KIT_98F_MG7_H1,0,0,0,0
KIT_12C_MG7_A2,0,0,0,0
KIT_12K_MG7_B2,0,0,0,0.081299745
KIT_12N_MG7_C2,0,0,0,0
KIT_99C_MG7_E2,0,0,0,0
KIT_99K_MG7_F2,0,0,0,0
KIT_99N_MG7_G2,0,0,0.006838475,0
KIT_99F_MG7_H2,0,0,0,0
KIT_253C_MG7_A3,0,0,0.001594453,0.997233987
KIT_253K_MG7_B3,0,0,0,0
KIT_253N_MG7_C3,0,0,0,0.926416993
KIT_91C_MG7_E3,0,0,0,0
KIT_91K_MG7_F3,0,0,0,0
KIT_91N_MG7_G3,0,0,0,0
KIT_91F_MG7_H3,0,0,0,0
KIT_227C_MG7_A4,0,0,0,0.99232167
KIT_227K_MG7_B4,0,0,0,0
KIT_227N_MG7_C4,0,0,0,0.995888591
KIT_97C_MG7_E4,0,0,0,0
KIT_97K_MG7_F4,0,0,0,0
KIT_97N_MG7_G4,0,0,0,0.901994586
KIT_97F_MG7_H4,0,0,0.215899289,0.802576602
KIT_212C_MG7_A5,0,0,0,0.984272718
KIT_212K_MG7_B5,0,0,0.007417555,0
KIT_212N_MG7_C5,0,0,0,0
KIT_23C_MG7_E5,0,0,0,0
KIT_23K_MG7_F5,0,0,0,0
KIT_23N_MG7_G5,0,0,0,0.966987908
KIT_23F_MG7_H5,0,0,0,0
KIT_34C_MG7_A6,0,0,0.374575973,0.863866568
KIT_34K_MG7_B6,0,0,0,0
KIT_34N_MG7_C6,0,0,0.636787832,0.413879126
KIT_86C_MG7_E6,0,0,0,0
KIT_86K_MG7_F6,0,0,0,0
KIT_86N_MG7_G6,0,0.343313694,0,0.799055696
KIT_86F_MG7_H6,0,0,0.007863611,0
KIT_57C_MG7_A7,0,0,0,0.995326161
