,A,B,C,D,E,F,H,K,L
ConcatenatedReads_11PA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016903782961890101
ConcatenatedReads_12AA_TP_3_all,0.0955454558134079,0.0,0.0,0.2047099769115448,0.0,0.0,0.28369879722595215,0.2162080556154251,0.0
ConcatenatedReads_12AA_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_12PA_TP_4_all,0.1545371264219284,0.0,0.0,0.04450104758143425,0.0,0.0,0.5959500074386597,0.11799878627061844,0.0
ConcatenatedReads_13AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA_TP_3_all,0.35121914744377136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_13AA_TP_4_all,0.0,0.0,0.0,0.0,0.595883309841156,0.0,0.0,0.0,0.0
ConcatenatedReads_13PA_TP_4_all,0.6510003805160522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3319804072380066
ConcatenatedReads_13PB_TP_1_all,0.09632938355207443,0.0,0.0,0.5231395363807678,0.0,0.26838135719299316,0.045108240097761154,0.0,0.0
ConcatenatedReads_14AA_TP_2_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14AA_TP_3_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_14PA_TP_2_all,0.11126026511192322,0.0,0.15998205542564392,0.345191091299057,0.0,0.009399009868502617,0.14281883835792542,0.10997547954320908,0.0
ConcatenatedReads_14PA_TP_3_all,0.09066390991210938,0.0,0.006277653854340315,0.40845370292663574,0.0,0.06307783722877502,0.18778736889362335,0.11216520518064499,0.006404626648873091
ConcatenatedReads_15AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AA_TP_5_all,0.5514203906059265,0.0,0.49280956387519836,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15AB_TP_4_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15PA_TP_1_all,0.5925083756446838,0.0,0.012911229394376278,0.36786291003227234,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15PA_TP_4_all,0.581818163394928,0.0,0.019505534321069717,0.37367236614227295,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_15PA_TP_5_all,0.7111512422561646,0.0,0.014068014919757843,0.25225314497947693,0.0,0.0,0.0,0.0024115636479109526,0.0
ConcatenatedReads_16PB_TP_3_all,0.1313333809375763,0.0,0.2998226284980774,0.4089093804359436,0.0,0.0,0.0533248670399189,0.027879491448402405,0.0
ConcatenatedReads_17AA_TP_1_all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17AB_TP_1_all,0.7734179496765137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_17PA_TP_3_all,0.25262531638145447,0.0,0.5553033947944641,0.016478823497891426,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_19AA_TP_1_all,0.8811107277870178,0.0,0.08775899559259415,0.0,0.0,0.020465239882469177,0.0,0.0,0.0
ConcatenatedReads_19AA_TP_3_all,0.9161821007728577,0.0,0.0698838159441948,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_19PA_TP_1_all,0.140290305018425,0.0,0.6515820026397705,0.0,0.0,0.0,0.0,0.16216160356998444,0.0
ConcatenatedReads_19PA_TP_3_all,0.1648934781551361,0.0,0.5940972566604614,0.0,0.0,0.0,0.0,0.1533309817314148,0.0
ConcatenatedReads_1AA_TP_1_all,0.29763129353523254,0.0,0.6304101347923279,0.05007064342498779,0.0,0.0,0.0,0.0,0.0005027923034504056
ConcatenatedReads_1AA_TP_3_all,0.34957367181777954,0.0,0.5769312381744385,0.04280505329370499,0.0010589805897325277,0.004694709554314613,0.0,0.014072215184569359,0.0
