,C.1.1,C.1.2.1,C.1.2.2,C.2.1.1,C.2.1.2,C.2.2.1.1,C.2.2.1.2.1.1,C.2.2.1.2.1.2,C.2.2.1.2.1.3,C.2.2.1.2.2.2,C.2.2.1.3.1,C.2.2.1.3.2.1,C.2.2.1.3.2.2.1.1.1,C.2.2.1.3.2.2.2,C.2.2.1.3.2.3,C.2.2.1.3.2.4.1
ConcatenatedReads_7PB,0.0,0.0617612861096859,0.0,0.0,0.0803757831454277,0.0,0.11630794405937195,0.0,0.0,0.1705797016620636,0.0,0.0,0.0,0.0,0.0,0.07147157192230225
ConcatenatedReads_8AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_8AB,0.0,0.4249785244464874,0.03490615636110306,0.0,0.04126570746302605,0.0,0.04301008954644203,0.0,0.0,0.0,0.0,0.0,0.05499458685517311,0.0,0.0,0.0
ConcatenatedReads_8AC,0.0,0.0,0.26876744627952576,0.0,0.0,0.0,0.32131320238113403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_8PA,0.0,0.0,0.0,0.0,0.07395730167627335,0.0,0.621921181678772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_8PB,0.0,0.2343273013830185,0.0,0.0,0.03237098455429077,0.0,0.1933499574661255,0.0,0.036921367049217224,0.0,0.0,0.0,0.10659630596637726,0.0,0.0,0.0
ConcatenatedReads_9AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_9PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_OCA,0.0,0.0,0.0,0.16917115449905396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ConcatenatedReads_OCB,0.0,0.0,0.0,0.24102254211902618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2989836037158966,0.0,0.0,0.0
